database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
				ISTD																	7797167	7274034	6409192	7553185	7754511	7921701	8184759	8173047	7152050	6162216	6076697	7853837	6890160	6291045	5978136	7535209	7325468	6214541	5929930	8630572	7375433	8072845	7748520	7540216	7956758	8270192	7809944	4675111	8407262	5719887	7873246	7389564	8133494	6950620	6739755	8049172	7663240	4786229	7507902	4997526	8062761	4921736	5719084	8094875	5404363	4893803	8205493	5397698	7414967	7201864	6631033	7698453	7372193	7614939	6688031	8163870	7437428	6569799	9405026	1,2-13C2-Myristic acid
				ISTD																	22019755	18659724	17996182	14166995	19700905	15119154	17602692	19260927	17154090	17488237	17425104	18580614	19995422	18482680	18632770	20035810	20557088	17833578	18714114	21704737	19842497	20812359	19889828	19139635	18667070	19366368	18929267	11088915	21002576	18102660	19783401	17306001	18818009	18923716	17973476	17929952	19995350	11237925	18560432	14683400	21052757	16423015	17714127	13775587	16897388	18190864	20648284	19393374	15969051	8051678	18525191	19710873	19294138	18874315	17975883	19272232	18891115	18181594	19328399	13C5,15N1-Valine
CHEBI:16125	C16H34O	C(CCCCCCCCCCCCCCC)O	InChI=1S/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3	1-Hexadecanol																	37020	34037	22959	36362	43150	44149	42860	39374	12305	15610	15760	35846	36511	24122	17200	31025	30539	17899	26062	72282	36814	33589	35615	28463	20083	19248	16889	14983	8855	10802	38793	54979	31143	39076	31341	63107	20855	20746	22620	18031	42862	12671	31251	45712	41067	23393	85727	40938	29354	39283	28277	57409	46200	45513	60747	130354	95419	43741	108607	1-Hexadecanol
CHEBI:37024	C6H11NO4	NC(CCCC(O)=O)C(O)=O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	Aminoadipic acid																	22394825	16487333	4868182	7269803	1505594	10175080	29373902	26094510	21212307	22966445	7170001	21150478	16501946	2649826	986973	1652631	5667087	1021474	22658233	5664796	2000272	3302106	3687987	1212083	1258351	1682213	511889	190891	118581	357351	341117	876922	39851	59170	68428	49449	4034461	11130825	2256832	1855480	19075987	888388	3069230	18048080	532183	1524417	18665266	220021	801291	471265	1109088	1992977	940555	2143309	3221254	5095587	2431179	1857512	1257026	Aminoadipic acid
CHEBI:28797	C4H9NO2	CC[C@@H](N)C(O)=O	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m1/s1	D-Alpha-aminobutyric acid																	143125	122737	109454	71929	178097	126515	570409	1121978	143977	1470285	258498	529058	240517	105146	108517	74719	132304	94580	1735658	196725	140252	582852	396022	229980	13989	5636	16972	31466	3658	11712	7950	29523	3156	7440	4699	3880	153920	115222	309167	86444	278783	206707	608410	1063735	136596	831374	1028018	231336	44879	9346	52308	63830	56727	72401	902440	167213	1036155	628243	222749	D-Alpha-aminobutyric acid
CHEBI:16000	C2H7NO	NCCO	InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2	Ethanolamine																	1035383	89249	61623	49274	186847	102267	1799277	286917	135747	816911	59902	893336	451363	99981	72208	765786	460544	74876	1688263	2686625	3628279	4773766	384769	532729	131673	489018	219812	123667	495671	103978	1275001	77017	752208	119569	101234	873747	1140624	55922	79280	57729	977383	70528	90903	85741	232711	94121	282254	172386	55465	37468	74436	354529	121650	789701	160413	917320	153257	437946	127019	Ethanolamine
CHEBI:64305	C7H13NO4	NC(CCCCC(O)=O)C(O)=O	InChI=1S/C7H13NO4/c8-5(7(11)12)3-1-2-4-6(9)10/h5H,1-4,8H2,(H,9,10)(H,11,12)	2-Aminoheptanedioic acid																	499174	486137	322227	377740	704473	407453	257250	348547	252359	176005	209171	201853	842115	593990	248203	466650	706998	272919	397010	580465	194648	310542	463795	136231	565227	335114	485996	469868	441654	238203	40202	113034	24750	31016	40112	32429	679844	905353	586687	405985	865924	337393	204080	408616	110354	193422	355247	57901	743469	704941	285992	737853	543877	674030	197153	416107	243724	276123	300173	2-Aminoheptanedioic acid
CHEBI:32797	C5H8O5	O[C@@H](CCC(O)=O)C(O)=O	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m0/s1	L-2-Hydroxyglutaric acid																	30202189	30319286	29413590	31609088	28750643	30685474	28683343	28101905	24108941	29480597	21105809	26140360	603962	615511	306123	544284	170292	188402	427107	142073	54861	101084	80313	52529	124635	46214	164549	769223	25581	80974	19407	27545	10869	16543	14102	14036	468216	1163337	505376	754628	804363	291797	48906	306134	44235	69014	79531	28724	475924	944013	520329	1030705	606796	226594	102484	109405	187234	139715	95219	L-2-Hydroxyglutaric acid
CHEBI:60645	C5H10O3	CC(C)C(O)C(O)=O	InChI=1S/C5H10O3/c1-3(2)4(6)5(7)8/h3-4,6H,1-2H3,(H,7,8)	2-Hydroxy-3-methylbutyric acid																	128874	109778	44816	92184	44208	77980	4165	9633	2336	6994	23074	11783	39395	16310	7211	13058	23292	11522	13059	18895	19567	12496	12169	17547	8827	2787	4985	11414	6955	8637	7235	7556	2688	6234	3758	4858	58031	50061	20281	30815	53041	26646	7454	13960	10514	4359	13347	9589	12222	9268	11305	17006	17378	15791	12540	25554	4878	15285	24524	2-Hydroxy-3-methylbutyric acid
CHEBI:30915	C5H6O5	OC(=O)CCC(=O)C(O)=O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	Oxoglutaric acid																	331864	122378	100091	109333	70831	175088	327625	77300	60074	135397	21602	52206	1778383	253810	176643	282192	120076	214733	246719	142737	46652	135371	164180	35198	185007	97342	245069	145120	41348	97175	21302	55366	10246	13938	7345	15400	277103	442840	138529	130306	669493	78291	61594	146817	26106	93167	92349	18993	114639	382062	291047	355206	323526	364484	115069	72109	108333	137772	69395	Oxoglutaric acid
