database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	102.100.100/50913	102.100.100/50914	102.100.100/50915	102.100.100/50916	102.100.100/50917	102.100.100/50918	102.100.100/50919	102.100.100/50920	102.100.100/50921	102.100.100/50922	102.100.100/50923	102.100.100/50924	102.100.100/50925	102.100.100/50926	102.100.100/50927	102.100.100/50928	102.100.100/50929	102.100.100/50930	102.100.100/50931	102.100.100/50932	102.100.100/50933	102.100.100/50934	102.100.100/50935	102.100.100/50936	102.100.100/50937	102.100.100/50938	102.100.100/50939	102.100.100/50940	102.100.100/50941	102.100.100/50942	102.100.100/50943	102.100.100/50944	102.100.100/50945	102.100.100/50946	102.100.100/50947	102.100.100/50948	102.100.100/50949	102.100.100/50950	102.100.100/50951	102.100.100/50952	102.100.100/50953	102.100.100/50954	102.100.100/50955	102.100.100/50956	102.100.100/50957	102.100.100/50958	102.100.100/50959	102.100.100/50960	102.100.100/50961	102.100.100/50962	102.100.100/50963	102.100.100/50964	102.100.100/50965	102.100.100/50966	102.100.100/50967	102.100.100/50968	102.100.100/50969	102.100.100/50970	102.100.100/50971	102.100.100/50972	metabolite
				ITSD																	2745247	2545926	2553626	2808912	2763606	2754561	2896273	2932503	2716075	2141703	2210679	2871417	2570206	2418870	2400415	2670094	2650377	2340046	2495339	2599458	2586615	2718772	2752621	2842148	2894944	3166498	2896977	1646808	2698644	2171962	2817687	2402487	2901767	2557883	3134969	2727756	2734538	2143278	2894447	1970748	2589364	2157542	2502349	2680881	2237344	2106736	2718878	2255987	3529621	2743705	3008037	2806300	3124302	2881434	2883055	3009149	2786958	2689030	2885290	2968915	13C2-Myristic acid
				ITSD																	306504	295155	341910	312202	330705	295662	302963	314558	327565	291944	315899	326414	268385	300178	331441	314715	305922	301900	333913	331553	366515	348544	353502	392395	366476	431204	362199	258004	442637	386302	449312	375920	499477	480013	565728	456423	308208	327544	333994	320589	301451	345886	416040	317341	391477	346335	338317	425291	388647	322171	345346	308404	333460	313441	348195	338589	327328	288931	331893	328752	13C5,15N1-Valine
				ITSD																	1009794	1011948	1019117	1067336	1024302	1141734	723606	887550	963362	927068	946492	881325	892727	986771	1077385	1063991	1055751	1032430	951642	935993	948742	950785	903915	1034405	1011897	1087069	1092144	921786	1565876	1099790	933146	1078202	1759460	1468507	1458910	1192852	1137591	1157211	1176026	1310706	1097100	1138904	1240626	983310	1183501	1241600	1052022	1338457	1270627	1164003	1226809	1080950	1185710	1201447	1035328	1203678	985803	1054861	1090477	1020193	13C6-Sorbitol
CHEBI:17750	C5H11NO2	C[N+](C)(C)CC([O-])=O	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	Betaine																	6146991	9933194	7520880	8998353	9524068	8125107	9043758	11551704	6590076	11655086	7880145	9880556	1807557	2009133	3350665	3532875	1174880	3409158	9921824	3597688	3622197	7855484	3329889	6353584	5906838	4321124	5887961	9943483	2065578	5887219	2458630	3262951	1471944	1946668	1519977	1843918	4435307	1877391	5221328	6360329	2054214	6428044	9014166	7051198	4253728	9133664	5425749	4485838	3172940	3636894	3935023	4427758	4230203	3704967	10041340	9453892	5284482	9603514	8765830	6380636	Betaine
CHEBI:28842	C18H36O2	C(CCCCCCCCCC)CCCCCCC(=O)O	InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)	Stearic acid																	4260780	3504700	4822166	5891235	7931494	3847496	4616676	7876343	3192185	3700253	2340641	4608206	4043295	3560646	3569327	5476230	3394124	1808001	2699691	8234392	11440882	6808645	4820594	5119035	8263632	195510	8126823	2367362	7608020	2932927	8224899	13557724	14661488	6653558	4668732	8568360	5329840	3136413	6232738	4851201	2746673	3176780	4895073	8359862	5251666	3745854	4999830	3030449	6838166	6571142	6283011	7392326	4155121	5265879	4444856	5941447	12034680	7933463	2928928	7236022	Stearic acid
CHEBI:167592	C33H66NO8P	[C@](COC(=O)*)(OC(=O)*)([H])COP(OCC[NH3+])(=O)[O-]		PE(14:0/14:0)																	167486	67476	96300	158015	230090	199297	192149	132036	156660	39637	107491	149954	139560	48211	63701	198607	142191	74501	49247	63731	148790	127139	195753	135184	205183	157522	197120	100846	123101	92409	38995	58754	29389	21322	16719	35195	188924	91246	173773	121998	177726	129521	107674	138694	98032	80505	142411	107882	98973	121769	96042	187303	106619	171957	31033	45035	150469	153846	32180	118587	PE(14:0/14:0)
CHEBI:17713	C10H14N5O6P	Nc1ncnc2n(cnc12)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	InChI=1S/C10H14N5O6P/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(16)6(21-7)2-20-22(17,18)19/h3-7,16H,1-2H2,(H2,11,12,13)(H2,17,18,19)/t5-,6+,7+/m0/s1	Deoxyadenosine monophosphate																	176967	194052	215803	183831	123503	151243	220447	175366	254308	287064	199103	194249	104789	119600	116376	121362	92707	73143	279221	160715	114995	230912	152237	129943	165556	87234	227102	356327	24828	158964	38533	104916	22589	19597	38429	16968	137426	247787	163602	185492	194264	123468	250467	275116	210784	222516	113336	129136	82724	114082	110680	114057	94078	111932	310341	272902	263434	238501	182126	231711	Deoxyadenosine monophosphate
CHEBI:43433	C6H13NO2	CC[C@@H](C)[C@H](N)C(O)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5+/m1/s1	L-Alloisoleucine																	10061216	10155477	10969025	20198421	23303019	14663357	9588647	13232107	5976521	17570406	7112106	9998802	6491771	3398840	5285285	11080782	5729725	7995504	15324763	4822877	4184361	6626287	4687907	8154745	13867635	3796477	10763018	33571138	2530784	14068615	912150	2964520	259436	540287	524489	800545	9661531	6191329	9728124	17969005	7587748	15021602	8940473	7987800	4360429	7514655	7317307	4598367	6633451	4219895	6539660	12669165	13181767	9358798	12734988	15179831	7323756	7418502	10290540	8471411	L-Alloisoleucine
CHEBI:16414	C5H11NO2	CC(C)[C@H](N)C(O)=O	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	L-Valine																	17792478	11653364	8783812	13821456	6610704	12614074	1955436	2355265	1819239	4602775	2411722	1954680	8349431	3499785	2562661	3656458	4000216	2929766	6684942	2715548	1796183	2829810	3521641	2562684	2952605	224887	1917577	3255166	509729	1847527	403811	1456242	213724	412952	658968	469822	5195854	6625439	3369517	4464797	6257827	3917595	2170329	3174518	1282240	1879641	2515097	1348266	2373610	1948720	2409704	3337286	2800598	2704260	4520181	5751458	2574546	3295273	5261876	2721680	L-Valine
CHEBI:17191	C6H13NO2	OC([C@H]([C@H](CC)C)N)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	L-Isoleucine																	4570166	4505284	4757806	8906266	10170256	6326879	4250135	5723429	2684385	7353110	3053953	4167836	2949841	1562389	2407353	5033814	2582200	3564039	6842839	2196040	1887989	2762526	2126366	3512570	6230393	1758546	4878181	14803023	1177858	6461948	418158	1370086	114869	236416	242702	383115	4497939	2759062	4447904	8074774	3412576	6608343	3794053	3444623	1979066	3067797	3243611	2027510	3043214	1905459	2921900	5754884	6000687	4290511	5321375	6318855	3308780	2931191	4397407	3720811	L-Isoleucine
