rank,candidate,candidate_name,entity_type,number_of_amr_determinants,number_of_strains,layers_supported,minimum_path_length,evidence_types,n_direct_observations,n_graph_derived,n_annotation_mediated,n_inferred,n_directly_measured_strains,strains,determinants,repeated_across_strains,determinant_fraction,hub_candidate,p_value,q_value,enrichment_significant
1,CHEBI:30797,L-Malic acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
2,CHEBI:15741,Succinic acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
3,CHEBI:4170,Glucose 6-phosphate,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
4,CHEBI:17053,L-Aspartic acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
5,CHEBI:18012,Fumaric acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
6,CHEBI:15344,Acetoacetic acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
7,CHEBI:30769,Citric acid,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
8,CHEBI:17634,D-Glucose,metabolite,9,4,metabolome,2,directly_observed; inferred,8,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
9,CHEBI:16027,Adenosine monophosphate,metabolite,9,4,metabolome,2,directly_observed; inferred,7,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; blaTEM-1b; dfrA12; dfrA14; dfrA17; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
10,CHEBI:17659,Uridine 5'-diphosphate,metabolite,9,4,metabolome,2,directly_observed; inferred,7,0,0,9,4,B36; MS_14384; MS_14386; MS_14387,blaCMY-2; blaTEM-1b; dfrA12; dfrA14; dfrA17; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
11,WP_000074527.1,alaA,protein,9,4,proteome,2,annotation_mediated,0,0,9,0,0,B36; MS_14384; MS_14386; MS_14387,aac(3)-IId; aac(6')-Ib-cr5; aph(3')-Ia; blaCMY-2; blaOXA-1; blaTEM-1b; fosA4; strAB,True,0.6923076923076923,False,4.102050286280622e-05,0.023971403346553868,True
12,CHEBI:16467,L-Arginine,metabolite,9,3,metabolome,2,directly_observed; inferred,7,0,0,9,3,B36; MS_14386; MS_14387,blaOXA-1; dfrA12; dfrA14; dfrA17; strAB; sul1; sul2; sul3,True,0.6923076923076923,False,0.3662965295430088,0.8550645935707271,False
13,EW035_RS00170,ilvN,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,blaTEM-1b; blaTEM-215; dfrA12; dfrA14; floR; fosA4; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
14,EW035_RS00460,gpmM,gene,9,1,genome,2,annotation_mediated,0,0,9,0,1,MS_14386,aadA1; aph(3')-Ia; blaTEM-1b; blaTEM-215; dfrA12; dfrA14; strAB; sul2; sul3,False,0.6923076923076923,False,0.0001827312863279085,0.023971403346553868,True
