marker,amr_class,B36_presence,B36_status,B36_coverage,B36_coverage_pct,B36_n_direct,B36_n_graph_derived,B36_n_annotation_mediated,B36_n_inferred,B36_n_hyperedges,B36_n_ppi,B36_concordance,MS_14384_presence,MS_14384_status,MS_14384_coverage,MS_14384_coverage_pct,MS_14384_n_direct,MS_14384_n_graph_derived,MS_14384_n_annotation_mediated,MS_14384_n_inferred,MS_14384_n_hyperedges,MS_14384_n_ppi,MS_14384_concordance,MS_14386_presence,MS_14386_status,MS_14386_coverage,MS_14386_coverage_pct,MS_14386_n_direct,MS_14386_n_graph_derived,MS_14386_n_annotation_mediated,MS_14386_n_inferred,MS_14386_n_hyperedges,MS_14386_n_ppi,MS_14386_concordance,MS_14387_presence,MS_14387_status,MS_14387_coverage,MS_14387_coverage_pct,MS_14387_n_direct,MS_14387_n_graph_derived,MS_14387_n_annotation_mediated,MS_14387_n_inferred,MS_14387_n_hyperedges,MS_14387_n_ppi,MS_14387_concordance
aac(3)-IId,aminoglycoside,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,6,75.0%,2,407,4,0,5,0,concordant,absent,absent,,,,,,,,,
aac(6')-Ib-cr5,fluoroquinolone,present,multi_omics,6,75.0%,2,407,4,0,5,0,concordant,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,
aadA1,aminoglycoside,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,3,37.5%,1,403,1,0,1,0,unavailable,absent,absent,,,,,,,,,
aadA5,aminoglycoside,present,multi_omics,4,50.0%,1,404,2,0,2,0,unavailable,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,
aph(3')-Ia,aminoglycoside,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,6,75.0%,2,409,6,0,7,0,concordant,absent,absent,,,,,,,,,
blaCMY-2,beta_lactam,absent,absent,,,,,,,,,,present,multi_omics,8,100.0%,13,414,10,11,12,0,discordant,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,
blaCTX-M-15,beta_lactam,present,multi_omics,6,75.0%,4,410,8,3,8,0,unavailable,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,
blaOXA-1,beta_lactam,present,multi_omics,7,87.5%,2,412,9,0,10,0,concordant,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,
blaTEM-1b,beta_lactam,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,8,100.0%,5,415,11,3,13,0,concordant,present,multi_omics,8,100.0%,5,415,11,3,13,0,discordant
blaTEM-215,beta_lactam,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,8,100.0%,5,412,9,3,10,0,concordant,absent,absent,,,,,,,,,
dfrA12,trimethoprim,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,8,100.0%,164,424,17,162,22,0,discordant,absent,absent,,,,,,,,,
dfrA14,trimethoprim,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,8,100.0%,164,420,14,162,18,0,discordant,absent,absent,,,,,,,,,
dfrA17,trimethoprim,present,multi_omics,8,100.0%,164,424,17,162,22,0,concordant,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,
floR,phenicol,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,4,50.0%,1,406,4,0,4,0,unavailable,absent,absent,,,,,,,,,
fosA4,fosfomycin,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,6,75.0%,2,407,4,0,5,0,concordant,absent,absent,,,,,,,,,
mph(A),macrolide,present,multi_omics,6,75.0%,2,405,3,0,4,0,discordant,absent,absent,,,,,,,,,,present,multi_omics,6,75.0%,2,405,3,0,4,0,concordant,absent,absent,,,,,,,,,
strAB,aminoglycoside,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,6,75.0%,2,404,3,0,3,0,concordant,present,multi_omics,6,75.0%,2,408,6,0,7,0,discordant
sul1,sulfonamide,present,multi_omics,8,100.0%,164,416,12,162,15,0,concordant,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,
sul2,sulfonamide,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,8,100.0%,164,417,12,162,15,0,concordant,present,multi_omics,8,100.0%,164,416,11,162,14,0,discordant
sul3,sulfonamide,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,present,multi_omics,8,100.0%,164,417,12,162,15,0,concordant,absent,absent,,,,,,,,,
tet(A),tetracycline,present,multi_omics,4,50.0%,1,406,4,0,4,0,unavailable,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,,absent,absent,,,,,,,,,
