strain,amr_determinant,amr_class,source_entity,source_layer,target_entity,target_layer,relationship,path_length,node_sequence,edge_sequence,evidence_type,evidence_source,observed_status
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS26095_RNA,transcriptome,rna_quantified,0,,,directly_observed,aligned_multiomics.csv (RNA_RPMI/RNA_Sera),observed
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS26090,genome,genomic_proximity,1,EW036_RS26095;EW036_RS26090,genomic_proximity,graph_derived,edges_gene_genomic_proximity_gene.csv,graph_derived
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS26100,genome,genomic_proximity,1,EW036_RS26095;EW036_RS26100,genomic_proximity,graph_derived,edges_gene_genomic_proximity_gene.csv,graph_derived
B36,tet(A),tetracycline,EW036_RS26095,hypergraph,COG_G: Carbohydrate transport and metabolism,hypergraph,hyperedge_membership,1,EW036_RS26095;COG_G: Carbohydrate transport and metabolism,member_of:cog_category,graph_derived,hyperedges.csv,graph_derived
B36,tet(A),tetracycline,EW036_RS26095,hypergraph,COG_P: Inorganic ion transport and metabolism,hypergraph,hyperedge_membership,1,EW036_RS26095;COG_P: Inorganic ion transport and metabolism,member_of:cog_category,graph_derived,hyperedges.csv,graph_derived
B36,tet(A),tetracycline,EW036_RS26095,hypergraph,COG_E: Amino acid transport and metabolism,hypergraph,hyperedge_membership,1,EW036_RS26095;COG_E: Amino acid transport and metabolism,member_of:cog_category,graph_derived,hyperedges.csv,graph_derived
B36,tet(A),tetracycline,EW036_RS26095,hypergraph,tetracycline_resistance,hypergraph,hyperedge_membership,1,EW036_RS26095;tetracycline_resistance,member_of:amr_mechanism,graph_derived,hyperedges.csv,graph_derived
B36,tet(A),tetracycline,EW036_RS26095,genome,E,cog,cog_category,1,EW036_RS26095;E,cog_category,annotation_mediated,edges_gene_cog_category_annotation.csv (eggNOG/COG),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,G,cog,cog_category,1,EW036_RS26095;G,cog_category,annotation_mediated,edges_gene_cog_category_annotation.csv (eggNOG/COG),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,P,cog,cog_category,1,EW036_RS26095;P,cog_category,annotation_mediated,edges_gene_cog_category_annotation.csv (eggNOG/COG),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,tetracycline,ppi_amr,amr_mechanism,1,EW036_RS26095;tetracycline,associated_with,annotation_mediated,amr_manifest / edges_gene_associated_with_annotation.csv,annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS00590,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS00590,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS00630,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS00630,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS00850,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS00850,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS00885,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS00885,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS00905,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS00905,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS00955,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS00955,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS00960,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS00960,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01080,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS01080,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01085,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01085,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01110,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01110,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01220,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS01220,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01240,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01240,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01245,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01245,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01315,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01315,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01340,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01340,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01375,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01375,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01385,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS01385,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01450,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01450,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01465,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01465,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01480,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01480,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01500,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01500,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01520,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS01520,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01550,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01550,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01605,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01605,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01610,genome,graph_context,2,EW036_RS26095;COG_G: Carbohydrate transport and metabolism;EW036_RS01610,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01645,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS01645,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01680,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01680,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01725,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS01725,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01745,genome,graph_context,2,EW036_RS26095;COG_E: Amino acid transport and metabolism;EW036_RS01745,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
B36,tet(A),tetracycline,EW036_RS26095,genome,EW036_RS01760,genome,graph_context,2,EW036_RS26095;COG_P: Inorganic ion transport and metabolism;EW036_RS01760,member_of_cog_category;member_of_cog_category,annotation_mediated,bounded_BFS (<= 4 hops),annotation_mediated
