Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Growth media]	Term Source REF	Term Accession Number	Factor Value[Isolation source]	Term Source REF	Term Accession Number	Factor Value[Serovar]	Term Source REF	Term Accession Number	Factor Value[Strain or isolate]	Term Source REF	Term Accession Number
102.100.100/50913	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50913	RPMI			Blood						B36		
102.100.100/50914	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50914	RPMI			Blood						B36		
102.100.100/50915	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50915	RPMI			Blood						B36		
102.100.100/50916	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50916	RPMI			Blood						B36		
102.100.100/50917	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50917	RPMI			Blood						B36		
102.100.100/50918	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50918	RPMI			Blood						B36		
102.100.100/50919	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50919	Pooled sera			Blood						B36		
102.100.100/50920	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50920	Pooled sera			Blood						B36		
102.100.100/50921	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50921	Pooled sera			Blood						B36		
102.100.100/50922	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50922	Pooled sera			Blood						B36		
102.100.100/50923	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50923	Pooled sera			Blood						B36		
102.100.100/50924	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli B36			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50924	Pooled sera			Blood						B36		
102.100.100/50925	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50925	RPMI			Blood						MS14384		
102.100.100/50926	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50926	RPMI			Blood						MS14384		
102.100.100/50927	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50927	RPMI			Blood						MS14384		
102.100.100/50928	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50928	RPMI			Blood						MS14384		
102.100.100/50929	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50929	RPMI			Blood						MS14384		
102.100.100/50930	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50930	RPMI			Blood						MS14384		
102.100.100/50931	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50931	Pooled sera			Blood						MS14384		
102.100.100/50932	Escherichia coli	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_562	Whole Organism	NCIT	http://purl.obolibrary.org/obo/NCIT_C13413	Escherichia coli MS14384			experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	102.100.100/50932	Pooled sera			Blood						MS14384		
