species,strain,st,layers,cds,rna_genes,proteins,aligned,gene_nodes,protein_nodes,metabolite_nodes,annotation_nodes,n_edges,n_hyperedges,amr_markers,amr_loci,cog_cats
Escherichia coli,B36,ST131,G+T+P+M,5130,5186,2335,2283,5118,2283,219,2833,77321,3699,8,8,21
Escherichia coli,MS_14384,ST963,G+T+P+M,4904,4946,2396,2348,4891,2348,219,2833,83248,3767,1,1,20
Escherichia coli,MS_14385,-,G+P+M,5322,0,2393,2348,5296,2348,219,2828,47148,3762,0,0,21
Escherichia coli,MS_14386,ST224,G+T+P+M,4821,4844,2356,2310,4808,2310,219,2843,78064,3736,13,14,20
Escherichia coli,MS_14387,ST69,G+T+P+M,5016,5041,2283,2246,5000,2246,219,2831,79161,3661,3,4,20
Klebsiella pneumoniae,AJ218,ST2121,G+T+P,5433,5529,2378,2284,5420,2284,0,2158,77047,3302,4,4,20
Klebsiella pneumoniae,KPC2,ST258,G+T+P,5523,5622,2001,1921,5509,1921,0,2157,76107,2934,9,9,20
Klebsiella variicola,0331100710,-,G+T+P,5091,5175,1913,1837,5089,1837,0,1049,63548,2383,0,0,20
Klebsiella variicola,04153260899,-,G+T+P,5082,5164,1624,1575,5081,1575,0,1035,59789,2117,0,0,20
Klebsiella variicola,AJ055,-,G+T+P,5393,5483,2251,2165,5390,2165,0,1057,69244,2727,0,0,20
Klebsiella variicola,AJ_292,-,G+T+P,5112,5212,2187,2104,5109,2104,0,1058,66230,2665,0,0,20
Staphylococcus aureus,BPH2760,ST1,G+T+P,2613,2735,1321,1295,2612,1295,0,1500,39108,1961,1,1,21
Staphylococcus aureus,BPH2819,ST5,G+T+P,2657,2771,1306,1280,2656,1280,0,1509,36819,1957,2,2,21
Staphylococcus aureus,BPH2900,ST22,G+T+P,2732,2822,1265,1238,2728,1238,0,1493,36886,1905,3,3,21
Staphylococcus aureus,BPH2947,ST239,G+T+P,3042,3180,1251,1233,3040,1233,0,1510,39734,1911,12,14,21
Staphylococcus aureus,BPH2986,ST8 (USA300),G+T+P,2888,3019,1255,1230,2887,1230,0,1502,39270,1904,8,8,21
