strain,marker,amr_class,locus_tag,protein_id,uniprot_id,protein_name,function,ec_number,go_ids,go_bp,go_mf,go_cc,n_go,recovered
B36,tet(A),tetracycline,EW036_RS26095,WP_000804064.1,P02982,"Tetracycline resistance protein, class A",Resistance to tetracycline by an active tetracycline efflux. This is an energy-dependent process that decreases the accumulation of the antibiotic in whole cells. This protein functions as a metal-tetracycline/H(+) antiporter,,GO:0005886; GO:0015297; GO:0046677; GO:1902600,GO:1902600; GO:0046677,GO:0015297,GO:0005886,4,True
B36,dfrA17,trimethoprim,EW036_RS26140,WP_001389366.1,Q7BPP7,dihydrofolate reductase,"Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis",,GO:0004146; GO:0005829; GO:0006730; GO:0046452; GO:0046654; GO:0046655; GO:0050661,GO:0046452; GO:0046655; GO:0006730; GO:0046654,GO:0004146; GO:0050661,GO:0005829,7,True
B36,aadA5,aminoglycoside,EW036_RS26145,WP_000503573.1,Q9R3A9,Aminoglycoside (3'') (9) adenylyltransferase,,2.7.7.47,GO:0009012; GO:0016491,,GO:0009012; GO:0016491,,2,True
B36,sul1,sulfonamide,EW036_RS26155,WP_000259031.1,P0C002,Dihydropteroate synthase type-1,"Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives (PubMed:37419898). Confers resistance to sulfonamide antibiotics, including sulfamethoxazole (SMX), sulfadiazine and sulfisoxazole (PubMed:37419898). The type II enzyme is stable whereas type I DHPS loses its activity rapidly",2.5.1.15,GO:0004156; GO:0005829; GO:0046654; GO:0046656; GO:0046677; GO:0046872,GO:0046656; GO:0046677; GO:0046654,GO:0004156; GO:0046872,GO:0005829,6,True
B36,mph(A),macrolide,EW036_RS26210,WP_000219391.1,W9A1U1,,,,GO:0016740,,GO:0016740,,1,True
B36,blaCTX-M-15,beta_lactam,EW036_RS26225,WP_000239590.1,A0A5R8T042,Beta-lactamase CTX-M-15,"Extended-spectrum beta-lactamase (ESBL) which confers resistance to penicillins, as well as first, second, third and fourth-generation cephalosporins (PubMed:11470367, PubMed:28069651, PubMed:29941650, PubMed:34310213, PubMed:35515906, PubMed:35563620). Has cefotaxime- and ceftazidime-hydrolyzing activity (PubMed:28069651, PubMed:29941650, PubMed:35515906). Inactive against the carbapenem antibiotics, imipenem, meropenem and ertapenem (PubMed:11470367, PubMed:29941650)",3.5.2.6,GO:0005576; GO:0008800; GO:0030655; GO:0046677,GO:0030655; GO:0046677,GO:0008800,GO:0005576,4,True
B36,blaOXA-1,beta_lactam,EW036_RS26250,WP_001334766.1,P13661,Beta-lactamase OXA-1,"Class D beta-lactamase which confers resistance to the beta-lactam antibiotics, including amoxicillin and ticarcillin (PubMed:11353602). Acts via hydrolysis of the beta-lactam ring (PubMed:11353602, PubMed:19485421, PubMed:20086146). Has penicillin- and cephalosporin-hydrolyzing activities (PubMed:11353602, PubMed:19485421, PubMed:20086146)",3.5.2.6,GO:0008658; GO:0008800; GO:0017001; GO:0042597; GO:0046677,GO:0017001; GO:0046677,GO:0008800; GO:0008658,GO:0042597,5,True
B36,aac(6')-Ib-cr5,fluoroquinolone,EW036_RS26255,WP_063840321.1,B0F5D7,Aminoglycoside N(6')-acetyltransferase type 1,,2.3.1.82,GO:0046677; GO:0047663,GO:0046677,GO:0047663,,2,True
MS_14384,blaCMY-2,beta_lactam,EW037_RS20170,WP_000976514.1,Q48434,Beta-lactamase CMY-2,"Class C beta-lactamase which confers resistance to penicillins and cephalosporins (PubMed:12407124, PubMed:16189104, PubMed:17204406, PubMed:28665771, PubMed:8787910). Has nitrocefin-, cefoxitin- and cefoperazone-hydrolyzing activities (PubMed:16189104, PubMed:23318801, PubMed:28665771)",3.5.2.6,GO:0008800; GO:0017001; GO:0030288; GO:0046677,GO:0017001; GO:0046677,GO:0008800,GO:0030288,4,True
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,WP_000027057.1,P62593,Beta-lactamase TEM,"TEM-type are the most prevalent beta-lactamases in enterobacteria; they hydrolyze the beta-lactam bond in susceptible beta-lactam antibiotics, thus conferring resistance to penicillins and cephalosporins. TEM-3 and TEM-4 are capable of hydrolyzing cefotaxime and ceftazidime. TEM-5 is capable of hydrolyzing ceftazidime. TEM-6 is capable of hydrolyzing ceftazidime and aztreonam. TEM-8/CAZ-2, TEM-16/CAZ-7 and TEM-24/CAZ-6 are markedly active against ceftazidime. IRT-4 shows resistance to beta-lactamase inhibitors",3.5.2.6,GO:0008800; GO:0030655; GO:0046677,GO:0030655; GO:0046677,GO:0008800,,3,True
MS_14386,blaTEM-215,beta_lactam,EW035_RS24340,WP_050190632.1,,,,,,,,,0,False
MS_14386,aac(3)-IId,aminoglycoside,EW035_RS23675,WP_000557454.1,Q5QJN0,Aminoglycoside N(3)-acetyltransferase,"Resistance to antibiotics containing the 2-deoxy-streptamine ring including gentamicin, kanamycin, tobramycin, neomycin and apramycin",2.3.1.81,GO:0046353; GO:0046677,GO:0046677,GO:0046353,,2,True
MS_14386,aph(3')-Ia,aminoglycoside,EW035_RS23605,WP_000018329.1,Q79DX9,Aminoglycoside 3'-phosphotransferase,,2.7.1.95,GO:0005524; GO:0008910; GO:0046677; GO:0046872,GO:0046677,GO:0005524; GO:0008910; GO:0046872,,4,True
MS_14386,strAB,aminoglycoside,EW035_RS23615,WP_001495812.1,,,,,,,,,0,False
MS_14386,strAB,aminoglycoside,EW035_RS23615,WP_001082320.1,C0LF17,Aminoglycoside 3'-phosphotransferase,,2.7.1.95,GO:0005524; GO:0008910; GO:0046677; GO:0046872,GO:0046677,GO:0005524; GO:0008910; GO:0046872,,4,True
MS_14386,sul2,sulfonamide,EW035_RS23625,WP_001043260.1,P0AC11,Dihydropteroate synthase type-2,"Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives (PubMed:37419898). Confers resistance to sulfonamide antibiotics, including sulfamethoxazole (SMX), sulfadiazine and sulfisoxazole (PubMed:37419898). The type II enzyme is stable whereas type I DHPS loses its activity rapidly (By similarity)",2.5.1.15,GO:0004156; GO:0005829; GO:0046654; GO:0046656; GO:0046677; GO:0046872,GO:0046656; GO:0046677; GO:0046654,GO:0004156; GO:0046872,GO:0005829,6,True
MS_14386,sul3,sulfonamide,EW035_RS23510,WP_000034420.1,C0HMD9,Dihydropteroate synthase type-3,"Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives (By similarity) (PubMed:37419898). Confers resistance to sulfonamide antibiotics, including sulfamethoxazole (SMX), sulfadiazine and sulfisoxazole (PubMed:12604565, PubMed:37419898)",2.5.1.15,GO:0004156; GO:0005829; GO:0046654; GO:0046656; GO:0046677; GO:0046872,GO:0046656; GO:0046677; GO:0046654,GO:0004156; GO:0046872,GO:0005829,6,True
MS_14386,dfrA12,trimethoprim,EW035_RS24220,WP_001083725.1,Q7BPB0,Dihydrofolate reductase,"Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis",1.5.1.3,GO:0004146; GO:0005829; GO:0006730; GO:0046452; GO:0046654; GO:0046655; GO:0050661,GO:0046452; GO:0046655; GO:0006730; GO:0046654,GO:0004146; GO:0050661,GO:0005829,7,True
MS_14386,dfrA14,trimethoprim,EW035_RS23420,WP_004201280.1,F8T8W2,dihydrofolate reductase,"Key enzyme in folate metabolism. Catalyzes an essential reaction for de novo glycine and purine synthesis, and for DNA precursor synthesis",,GO:0004146; GO:0006730; GO:0046452; GO:0046654; GO:0046655; GO:0050661,GO:0046452; GO:0046655; GO:0006730; GO:0046654,GO:0004146; GO:0050661,,6,True
MS_14386,floR,phenicol,EW035_RS23465,WP_039023559.1,,,,,,,,,0,False
MS_14386,fosA4,fosfomycin,EW035_RS24270,WP_034169466.1,A0A4Q8P8C1,,,,GO:0016740; GO:0046872,,GO:0046872; GO:0016740,,2,True
MS_14387,strAB,aminoglycoside,FVE81_RS25180,WP_001082319.1,Q8GJ11,Aminoglycoside 3'-phosphotransferase,,2.7.1.95,GO:0005524; GO:0008910; GO:0046677; GO:0046872,GO:0046677,GO:0005524; GO:0008910; GO:0046872,,4,True
MS_14387,strAB,aminoglycoside,FVE81_RS25180,WP_000480968.1,T2LG22,,,,GO:0016773; GO:0019748,GO:0019748,GO:0016773,,2,True
MS_14387,sul2,sulfonamide,FVE81_RS25175,WP_001043265.1,B7JCH4,Dihydropteroate synthase,"Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives",2.5.1.15,GO:0004156; GO:0005829; GO:0046654; GO:0046656; GO:0046872,GO:0046656; GO:0046654,GO:0004156; GO:0046872,GO:0005829,5,True
