GeneID	COG_category	Description	Preferred_name	KEGG_ko	KEGG_Pathway
WP_000003229	U	VirB8 protein	triG	ko:K03203	ko03070,map03070
WP_000004159	G	Major facilitator Superfamily	-	-	-
WP_000005560	S	Radical SAM	-	-	-
WP_000008707	S	-	-	-	-
WP_000014594	K	SMART Cold shock protein	cspA	ko:K03704	-
WP_000018329	F	Belongs to the aminoglycoside phosphotransferase family	neo	ko:K19300	-
WP_000019473	L	COG3039 Transposase and inactivated derivatives IS5 family	insH6	ko:K07481	-
WP_000025662	S	CopC domain	pcoC	ko:K07156	-
WP_000039782	M	LysM domain	-	-	-
WP_000053822	U	Type IV secretory pathway, VirD4 components	virD4	ko:K03205	ko03070,map03070
WP_000059191	L	Phage small terminase subunit	-	-	-
WP_000063948	S	-	-	-	-
WP_000072676	S	-	-	-	-
WP_000079398	P	transport	ganQ	ko:K15772	ko02010,map02010
WP_000091955	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	ko:K02902	ko03010,map03010
WP_000093087	L	helicase	-	ko:K03724	-
WP_000103754	IQ	Carrier of the growing fatty acid chain in fatty acid biosynthesis	acpP	ko:K02078	-
WP_000108726	U	type IV secretory pathway, VirB4 components	virB4	ko:K03199	ko03070,map03070
WP_000113538	S	Protein of unknown function (DUF4054)	-	-	-
WP_000113647	L	terminase, small subunit	-	-	-
WP_000124850	J	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit	rplT	ko:K02887	ko03010,map03010
WP_000125558	NU	Type II/IV secretion system protein	virB11	ko:K03196	ko03070,ko05120,map03070,map05120
WP_000130000	K	transcriptional regulator	-	-	-
WP_000132147	S	-	-	-	-
WP_000135058	K	Promotes RNA polymerase assembly. Latches the N- and C- terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits	rpoZ	ko:K03060	ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020
WP_000135199	J	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit	rpsR	ko:K02963	ko03010,map03010
WP_000140406	K	helix_turn_helix, arabinose operon control protein	pchR	ko:K05372,ko:K12243	-
WP_000147567	L	PFAM Resolvase, N-terminal domain	tnpR	-	-
WP_000165971	S	Rop protein	-	-	-
WP_000184001	P	Chromate	chrA	ko:K07240	-
WP_000188448	S	-	-	-	-
WP_000194282	Q	Thioesterase domain	irp4	ko:K05374	-
WP_000196235	S	SprT-like family	mpr	-	-
WP_000205185	K	Prophage CP4-57 regulatory protein (AlpA)	alpA	ko:K07733	-
WP_000208713	S	MTH538 TIR-like domain (DUF1863)	-	-	-
WP_000211446	S	-	-	-	-
WP_000219391	S	Phosphotransferase enzyme family	-	ko:K06979	-
WP_000227969	L	Transposase	-	-	-
WP_000228469	K	Transcriptional regulator	lrp	ko:K03719	-
WP_000235886	U	Conjugal transfer protein	virB6	ko:K03201	ko03070,map03070
WP_000242758	K	COG0664 cAMP-binding proteins - catabolite gene activator and regulatory subunit of cAMP-dependent protein kinases	crp	ko:K10914	ko02020,ko02024,ko02025,ko02026,ko05111,map02020,map02024,map02025,map02026,map05111
WP_000259031	H	Catalyzes the condensation of para-aminobenzoate (pABA) with 6-hydroxymethyl-7,8-dihydropterin diphosphate (DHPt-PP) to form 7,8-dihydropteroate (H2Pte), the immediate precursor of folate derivatives	-	ko:K18974	ko00790,ko01100,map00790,map01100
WP_000290724	J	Belongs to the bacterial ribosomal protein bL32 family	rpmF	ko:K02911	ko03010,map03010
WP_000312627	S	-	-	-	-
WP_000347934	V	Belongs to the resistance-nodulation-cell division (RND) (TC 2.A.6) family	mexF	ko:K18299,ko:K19585	-
WP_000358960	J	This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance	rplR	ko:K02881	ko03010,map03010
WP_000376616	K	acetyltransferase	-	-	-
WP_000387720	CQ	BMC domain	eutM	ko:K04027	-
WP_000412211	H	This enzyme is an effector of chloramphenicol resistance in bacteria	-	ko:K19271	-
WP_000429386	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	atpE	ko:K02110	ko00190,ko00195,ko01100,map00190,map00195,map01100
