GeneID	COG_category	Description	Preferred_name	KEGG_ko	KEGG_Pathway
WP_000002071	Q	Catalyzes the reversible cleavage of pseudouridine 5'- phosphate (PsiMP) to ribose 5-phosphate and uracil. Functions biologically in the cleavage direction, as part of a pseudouridine degradation pathway	psuG	ko:K16329	ko00240,map00240
WP_000002677	E	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily	mhqA_2	ko:K15975	-
WP_000002682	S	Small integral membrane protein (DUF2273)	-	-	-
WP_000002973	KO	Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG	ureG	ko:K03189	-
WP_000003566	J	Belongs to the class-II aminoacyl-tRNA synthetase family. Phe-tRNA synthetase alpha subunit type 1 subfamily	pheS	ko:K01889	ko00970,map00970
WP_000003755	K	helix_turn_helix, Arsenical Resistance Operon Repressor	czrA	ko:K22043	-
WP_000003870	F	Belongs to the purine pyrimidine phosphoribosyltransferase family. PyrR subfamily	pyrR	ko:K02825	ko00240,ko01100,map00240,map01100
WP_000004086	J	One of the primary rRNA binding proteins, it binds specifically to the 5'-end of 16S ribosomal RNA	rpsQ	ko:K02961	ko03010,map03010
WP_000004344	S	Polysaccharide biosynthesis protein	ytgP	ko:K03328	-
WP_000004981	FG	COG0537 Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases	hit	ko:K02503	-
WP_000005215	S	UPF0302 domain	-	-	-
WP_000005876	S	-	-	-	-
WP_000006110	S	-	-	-	-
WP_000006551	K	May be required for sporulation	whiA	ko:K09762	-
WP_000007686	U	Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Acts as a receptor for the complex formed by the signal recognition particle (SRP) and the ribosome-nascent chain (RNC)	ftsY	ko:K03110	ko02024,ko03060,ko03070,map02024,map03060,map03070
WP_000007970	S	SNARE associated Golgi protein	yhjE	-	-
WP_000009071	S	-	-	-	-
WP_000009238	S	-	-	-	-
WP_000009398	V	ABC transporter (permease)	bceB	ko:K11632,ko:K19080	ko01503,ko02010,ko02020,ko05150,map01503,map02010,map02020,map05150
WP_000011542	S	UPF0316 protein	yebE	-	-
WP_000011687	S	Belongs to the UPF0346 family	-	-	-
WP_000011688	S	YozE SAM-like fold	-	-	-
WP_000011825	S	-	-	-	-
WP_000015639	S	-	-	-	-
WP_000017736	C	quinol oxidase, subunit	qoxC	ko:K02828	ko00190,ko01100,map00190,map01100
WP_000018608	D	Cell division protein that is part of the divisome complex and is recruited early to the Z-ring. Probably stimulates Z-ring formation, perhaps through the cross-linking of FtsZ protofilaments. Its function overlaps with FtsA	sepF	ko:K09772	-
WP_000019126	P	Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family	yeaB	-	-
WP_000019688	E	The glycine cleavage system catalyzes the degradation of glycine. The P protein binds the alpha-amino group of glycine through its pyridoxal phosphate cofactor	gcvPA	ko:K00282	ko00260,ko00630,ko01100,ko01110,ko01130,ko01200,map00260,map00630,map01100,map01110,map01130,map01200
