strain,amr_determinant,amr_class,source_entity,source_layer,target_entity,target_layer,relationship,path_length,node_sequence,edge_sequence,evidence_type,evidence_source,observed_status
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,EW035_RS23590_RNA,transcriptome,rna_quantified,0,,,directly_observed,aligned_multiomics.csv (RNA_RPMI/RNA_Sera),observed
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,WP_000027057.1,proteome,protein_quantified,0,,,directly_observed,aligned_multiomics.csv (Protein_RPMI/Protein_Sera),observed
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,EW035_RS23585,genome,genomic_proximity,1,EW035_RS23590;EW035_RS23585,genomic_proximity,graph_derived,edges_gene_genomic_proximity_gene.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,EW035_RS23595,genome,genomic_proximity,1,EW035_RS23590;EW035_RS23595,genomic_proximity,graph_derived,edges_gene_genomic_proximity_gene.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,Triple_EW035_RS23590,hypergraph,hyperedge_membership,1,WP_000027057.1;Triple_EW035_RS23590,member_of:multi_omics_triple,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,map01501,hypergraph,hyperedge_membership,1,WP_000027057.1;map01501,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,ko01501,hypergraph,hyperedge_membership,1,WP_000027057.1;ko01501,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,ko01130,hypergraph,hyperedge_membership,1,WP_000027057.1;ko01130,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,map01130,hypergraph,hyperedge_membership,1,WP_000027057.1;map01130,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,ko00311,hypergraph,hyperedge_membership,1,WP_000027057.1;ko00311,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,map00311,hypergraph,hyperedge_membership,1,WP_000027057.1;map00311,member_of:kegg_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,COG_V: Defense mechanisms,hypergraph,hyperedge_membership,1,WP_000027057.1;COG_V: Defense mechanisms,member_of:cog_category,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,beta_lactam_resistance,hypergraph,hyperedge_membership,1,WP_000027057.1;beta_lactam_resistance,member_of:amr_mechanism,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,GO:0046677: P:response to antibiotic,hypergraph,hyperedge_membership,1,WP_000027057.1;GO:0046677: P:response to antibiotic,member_of:go_term,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,GO:0008800: F:beta-lactamase activity,hypergraph,hyperedge_membership,1,WP_000027057.1;GO:0008800: F:beta-lactamase activity,member_of:go_term,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,Metabolic_map00311,hypergraph,hyperedge_membership,1,WP_000027057.1;Metabolic_map00311,member_of:metabolic_pathway,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,hypergraph,GO:0030655: GO:0030655,hypergraph,hyperedge_membership,1,WP_000027057.1;GO:0030655: GO:0030655,member_of:go_term,graph_derived,hyperedges.csv,graph_derived
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,ko00311,kegg,in_pathway,1,EW035_RS23590;ko00311,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,ko01130,kegg,in_pathway,1,EW035_RS23590;ko01130,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,ko01501,kegg,in_pathway,1,EW035_RS23590;ko01501,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,map00311,kegg,in_pathway,1,EW035_RS23590;map00311,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,map01130,kegg,in_pathway,1,EW035_RS23590;map01130,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,map01501,kegg,in_pathway,1,EW035_RS23590;map01501,in_pathway,annotation_mediated,edges_gene_in_pathway_annotation.csv (KEGG),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,V,cog,cog_category,1,EW035_RS23590;V,cog_category,annotation_mediated,edges_gene_cog_category_annotation.csv (eggNOG/COG),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,proteome,GO:0008800,go,go_annotation,1,WP_000027057.1;GO:0008800,annotated_by,annotation_mediated,edges_protein_annotated_by_annotation.csv (GO),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,proteome,GO:0030655,go,go_annotation,1,WP_000027057.1;GO:0030655,annotated_by,annotation_mediated,edges_protein_annotated_by_annotation.csv (GO),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,proteome,GO:0046677,go,go_annotation,1,WP_000027057.1;GO:0046677,annotated_by,annotation_mediated,edges_protein_annotated_by_annotation.csv (GO),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,proteome,GO:0008800,go,go_annotation,1,WP_000027057.1;GO:0008800,annotated_by,annotation_mediated,amr_uniprot_recovery.csv (per-ID UniProt lookup; bypasses upstream batch-search truncation),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,proteome,GO:0030655,go,go_annotation,1,WP_000027057.1;GO:0030655,annotated_by,annotation_mediated,amr_uniprot_recovery.csv (per-ID UniProt lookup; bypasses upstream batch-search truncation),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,WP_000027057.1,proteome,GO:0046677,go,go_annotation,1,WP_000027057.1;GO:0046677,annotated_by,annotation_mediated,amr_uniprot_recovery.csv (per-ID UniProt lookup; bypasses upstream batch-search truncation),annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,beta_lactam,ppi_amr,amr_mechanism,1,EW035_RS23590;beta_lactam,associated_with,annotation_mediated,amr_manifest / edges_gene_associated_with_annotation.csv,annotation_mediated
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,CHEBI:16414,metabolome,shares_pathway,2,EW035_RS23590;map00311;CHEBI:16414,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,CHEBI:16414,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,CHEBI:17561,metabolome,shares_pathway,2,EW035_RS23590;map00311;CHEBI:17561,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,CHEBI:17561,metabolome,metabolite_quantified,2,,,directly_observed,metabolomics_abundance.csv,observed
MS_14386,blaTEM-1b,beta_lactam,EW035_RS23590,genome,CHEBI:37024,metabolome,shares_pathway,2,EW035_RS23590;map00311;CHEBI:37024,in_pathway;in_pathway,inferred,pathway-mediated (gene->pathway->metabolite),inferred
